R2.K,V(Re.nA),V(Rc.nB),V(Q1.nB),
0,3.93148555182988e-9,14.99999999606683,1.0000000000003367e-17,
0.01,4.028828811648372e-9,14.999999995970215,0.10000000000000947,
0.02,2.34446179490283e-8,14.99999997666922,0.19999999999775359,
0.03,9.63261053794129e-7,14.999999042401937,0.29999999983350806,
0.04,0.00004694769778572855,14.999953329473497,0.399999989208798,
0.05,0.002122345639163096,14.997890185984037,0.49999939430487855,
0.06,0.03221301449339919,14.967977318726081,0.5999890368065578,
0.07,0.10242018202806998,14.898185924631521,0.69995955248225,
0.08,0.18687308130254138,14.814234893671694,0.7999160893619511,
0.09,0.2766784636546001,14.72496527166776,0.8998609399917282,
0.1,0.3691455023001466,14.633052130617044,0.9997948875943955,
0.11,0.46317875198984276,14.539584524913456,1.0997183299743238,
0.12,0.5582352240884286,14.445102290559523,1.199631538382866,
0.13,0.6540088715495652,14.349909708950552,1.299534733875286,
0.14,0.7503110783105688,14.254194317022296,1.3994281151524148,
0.15,0.8470177629200599,14.158079493936336,1.4993118703243862,
0.16,0.9440430921991391,14.061650593675786,1.5991861824989437,
0.17,1.0413253357097476,13.964969007946483,1.6990512325995508,
0.18,1.1388186635999349,13.86808032046359,1.7989072009243372,
0.19,1.2364881535997767,13.77101927085002,1.8987542680362965,
0.2,1.3343066095263172,13.673812917606167,1.9985926152970357,
0.21,1.43225245780993,13.576482729349157,2.098422425199068,
0.22,1.5303083124901502,13.479046011480252,2.1982438815799563,
0.23,1.6284599695243038,13.381516906040474,2.2980571697650185,
0.24,1.7266956852907402,13.2839071090259,2.397862476665765,
0.25,1.8250056482540427,13.18622639566435,2.4976599908503343,
0.26,1.9233815850028881,13.088483012100285,2.597449902595957,
0.27,2.0218164617077377,12.990683972213915,2.6972324039297457,
0.28,2.1203042545937847,12.89283528582542,2.7970076886618664,
0.29,2.218839771161717,12.794942136445554,2.8967759524137384,
0.3,2.3174185092842006,12.697009021369912,2.9965373926430128,
0.31,2.4160365449558716,12.599039863285508,3.096292208666503,
0.32,2.514690441989022,12.501038100058615,3.1960406016818745,
